Date,Open,High,Low,Close,Adj Close,Volume
2007/8/1,9188.599609,9265.700195,7987.609863,8982.160156,8982.126953,117799200
2007/9/1,9018.889648,9474.049805,8841.639648,9411.950195,9411.916016,78094400
2007/10/1,9523.980469,9859.650391,9275.719727,9711.370117,9711.333008,115958000
2007/11/1,9780.589844,9785.75,8207.969727,8586.400391,8586.368164,101083200
2007/12/1,8623.120117,8804.929688,7664.620117,8506.280273,8506.248047,81858000
2008/1/1,8491.570313,8546.200195,7384.609863,7521.129883,7521.101563,110618000
2008/2/1,7613.580078,8473.709961,7530.370117,8412.759766,8412.727539,66958400
2008/3/1,8213.700195,9049.230469,7900.799805,8572.589844,8572.557617,119302600
2008/4/1,8593.200195,9194.860352,8419.719727,8919.919922,8919.886719,119824400
2008/5/1,8998.05957,9309.950195,8548.320313,8619.080078,8619.047852,110158600
2008/6/1,8638.480469,8809.330078,7466.200195,7523.540039,7523.511719,82064800
2008/7/1,7528.540039,7569.180176,6708.459961,7024.060059,7024.03418,92596000
2008/8/1,6920.75,7376.689941,6809.959961,7046.109863,7046.083984,78415200
2008/9/1,6967.220215,6967.220215,5530.189941,5719.279785,5719.258789,80402400
2008/10/1,5854,5854,4110.089844,4870.660156,4870.641602,66392400
2008/11/1,4925.740234,5095.97998,3955.429932,4460.490234,4460.473633,68436000
2008/12/1,4436.120117,4750.959961,4190.02002,4591.220215,4591.203125,87324000
2009/1/1,4725.259766,4817.439941,4164.189941,4247.970215,4247.954102,41117400
2009/2/1,4277.100098,4607.970215,4240.080078,4557.149902,4557.132813,64448000
2009/3/1,4528.27002,5468.490234,4328.049805,5210.839844,5210.820313,116669000
2009/4/1,5271.830078,6071.060059,5271.830078,5992.569824,5992.547363,149469000
2009/5/1,6285.600098,6930.589844,6256.290039,6890.439941,6890.414063,140233400
2009/6/1,7033.330078,7084.830078,6100.080078,6432.160156,6432.135742,104431200
2009/7/1,6445.850098,7185.52002,6433.689941,7077.709961,7077.683594,110756000
2009/8/1,7036.470215,7138.939941,6629.100098,6825.950195,6825.924316,78386200
2009/9/1,6834.629883,7558.879883,6807.620117,7509.169922,7509.14209,92419400
2009/10/1,7581.379883,7811.919922,7233.629883,7340.080078,7340.052246,99066000
2009/11/1,7238.299805,7875.47998,7218.890137,7582.209961,7582.181152,81100600
2009/12/1,7615.950195,8188.799805,7549.009766,8188.109863,8188.079102,102750800
2010/1/1,8222.419922,8395.389648,7481.899902,7640.439941,7640.411133,105426800
2010/2/1,7653.890137,7661.700195,7173.180176,7436.100098,7436.072266,43507600
2010/3/1,7492.839844,7994.620117,7451.089844,7920.060059,7920.029785,80218800
2010/4/1,7952.620117,8190.009766,7842.069824,8004.25,8004.219238,90335200
2010/5/1,7979.799805,8022.450195,7032.399902,7373.97998,7373.952148,72737400
2010/6/1,7327.009766,7645.709961,7048.600098,7329.370117,7329.342285,62387800
2010/7/1,7326.890137,7807.069824,7251.600098,7760.629883,7760.601074,83998400
2010/8/1,7829.189941,8054.290039,7577.100098,7616.279785,7616.250977,104368400
2010/9/1,7643.609863,8286.929688,7625.720215,8237.780273,8237.748047,93925800
2010/10/1,8259.080078,8386.290039,7992.810059,8287.089844,8287.057617,83728400
2010/11/1,8343.519531,8473.660156,8226.709961,8372.480469,8372.448242,60162400
2010/12/1,8430.599609,8990.379883,8428.639648,8972.5,8972.466797,86739800
2011/1/1,9039.629883,9154.929688,8738.929688,9145.349609,9145.31543,74939800
2011/2/1,9220.69043,9220.69043,8470.089844,8599.650391,8599.618164,47511600
2011/3/1,8611.790039,8829.230469,8070.52002,8683.299805,8683.267578,63751400
2011/4/1,8697.839844,9099.75,8592.230469,9007.870117,9007.836914,50125800
2011/5/1,9014.330078,9082.009766,8673.379883,8988.839844,8988.806641,48941200
2011/6/1,8999.839844,9089.469727,8433.459961,8652.589844,8652.557617,43685800
2011/7/1,8684.389648,8842.169922,8410.44043,8644.179688,8644.147461,53545000
2011/8/1,8629.969727,8707.870117,7148.759766,7741.359863,7741.331055,71594000
2011/9/1,7799.180176,7886.040039,6877.120117,7225.379883,7225.352539,52829200
2011/10/1,7128.660156,7743.370117,6889.990234,7587.689941,7587.661133,43257400
2011/11/1,7547.240234,7683.089844,6744.259766,6904.120117,6904.094238,49550600
2011/12/1,7132.410156,7199.259766,6609.109863,7072.080078,7072.054199,40925800
2012/1/1,7005.390137,7517.080078,7005.390137,7517.080078,7517.051758,35503800
2012/2/1,7520.359863,8121.439941,7488.970215,8121.439941,8121.40918,69098800
2012/3/1,8127.569824,8170.720215,7775.75,7933,7932.969727,55135600
2012/4/1,7905.879883,7928.430176,7422.140137,7501.720215,7501.692383,35760200
2012/5/1,7511.759766,7704.870117,7047.319824,7301.5,7301.472168,38591200
2012/6/1,7213.689941,7334.629883,6857.350098,7296.279785,7296.251953,32466800
2012/7/1,7332.089844,7442.549805,6922.72998,7270.490234,7270.462402,35296800
2012/8/1,7242.580078,7536.319824,7186.779785,7397.060059,7397.032227,41193600
2012/9/1,7430.399902,7789.390137,7313.560059,7715.160156,7715.131348,45937400
2012/10/1,7702.120117,7727.529785,7091.189941,7166.049805,7166.022949,35335800
2012/11/1,7141.970215,7590.689941,7050.049805,7580.169922,7580.141113,38003200
2012/12/1,7582.649902,7757.089844,7491.52002,7699.5,7699.471191,45782600
2013/1/1,7738.049805,7855.160156,7603.27002,7850.02002,7849.990723,48848600
2013/2/1,7853.75,8029.100098,7832,7897.97998,7897.949707,27794000
2013/3/1,7917.720215,8089.209961,7786.560059,7918.609863,7918.57959,44598400
2013/4/1,7934.25,8115.589844,7688.620117,8093.660156,8093.629395,38215400
2013/5/1,8111.430176,8439.150391,8095.700195,8254.799805,8254.767578,53390200
2013/6/1,8177.970215,8250.169922,7663.22998,8062.209961,8062.179199,41390800
2013/7/1,8011.950195,8265.700195,7877.060059,8107.939941,8107.90918,49209100
2013/8/1,8110.72998,8162.910156,7737.330078,8021.890137,8021.859375,41074000
2013/9/1,8010.149902,8310.94043,7993.129883,8173.870117,8173.839355,39580500
2013/10/1,8173.990234,8469.580078,8172.790039,8450.05957,8450.027344,49354900
2013/11/1,8474.469727,8476.629883,8093.819824,8406.830078,8406.797852,42845200
2013/12/1,8429.240234,8647.240234,8313.870117,8611.509766,8611.477539,42241100
2014/1/1,8618.599609,8668.950195,8442.19043,8462.570313,8462.538086,46511800
2014/2/1,8290.169922,8647.900391,8230.459961,8639.580078,8639.547852,39826500
2014/3/1,8627.150391,8849.280273,8508.009766,8849.280273,8849.248047,49636400
2014/4/1,8847.339844,9022.280273,8671.650391,8791.44043,8791.408203,48580800
2014/5/1,8846.860352,9139.570313,8803.429688,9075.910156,9075.875977,45539700
2014/6/1,9106.610352,9393.070313,9070.450195,9393.070313,9393.036133,49515600
2014/7/1,9393.070313,9593.679688,9313.870117,9315.849609,9315.81543,64922900
2014/8/1,9223.75,9502.419922,9014.889648,9436.269531,9436.235352,46387500
2014/9/1,9474.410156,9532.660156,8860.169922,8966.919922,8966.886719,37874300
2014/10/1,8958.870117,9122.540039,8501.290039,8974.759766,8974.726563,40957900
2014/11/1,9009.379883,9217.730469,8828.150391,9187.150391,9187.116211,34399700
2014/12/1,9038.410156,9338.05957,8826.030273,9307.259766,9307.225586,46405900
2015/1/1,9292.30957,9523.730469,9043.44043,9361.910156,9361.875977,44435400
2015/2/1,9368.830078,9699.540039,9352.19043,9622.099609,9622.063477,23281700
2015/3/1,9665.110352,9775.629883,9472.540039,9586.44043,9586.404297,45858400
2015/4/1,9575.110352,10014.28027,9503.530273,9820.049805,9820.012695,47646800
2015/5/1,9853.509766,9871.650391,9536.160156,9701.070313,9701.033203,44291000
2015/6/1,9688.129883,9692.339844,9170.089844,9323.019531,9322.985352,43175800
2015/7/1,9311.759766,9404.759766,8516.230469,8665.339844,8665.307617,42910000
2015/8/1,8636.530273,8636.530273,7203.069824,8174.919922,8174.88916,47635800
2015/9/1,8117.5,8488.530273,7907.310059,8181.240234,8181.209473,40057500
2015/10/1,8194.299805,8757.139648,8170.779785,8554.30957,8554.277344,40967100
2015/11/1,8571.530273,8871.870117,8217.339844,8320.610352,8320.578125,39049800
2015/12/1,8359.269531,8535.360352,7980.589844,8338.05957,8338.027344,41102000
2016/1/1,8315.790039,8326.330078,7627.890137,8080.600098,8080.569336,37346200
2016/2/1,8164.240234,8432.740234,7953.990234,8411.160156,8411.12793,24288500
2016/3/1,8381.379883,8840.75,8378.05957,8744.830078,8744.810547,48451000
2016/4/1,8700.379883,8743.349609,8352.230469,8377.900391,8377.880859,29930700
2016/5/1,8362.349609,8563.400391,7999.97998,8535.589844,8535.570313,33218000
2016/6/1,8516.080078,8754.820313,8374.259766,8666.580078,8666.560547,32956900
2016/7/1,8692.480469,9085.910156,8569.150391,8984.410156,8984.396484,42112800
2016/8/1,9008.740234,9200.419922,8928.330078,9068.849609,9068.835938,41423800
2016/9/1,9055.730469,9303.129883,8885.549805,9166.849609,9166.836914,30156000
2016/10/1,9219.519531,9399.969727,9074.990234,9290.120117,9290.107422,29189300
2016/11/1,9272.299805,9296.860352,8879.69043,9240.709961,9240.697266,40360700
2016/12/1,9245.549805,9430.339844,9078.639648,9253.5,9253.493164,33801500
2017/1/1,9252.55957,9468.339844,9235.950195,9447.950195,9447.943359,26746900
2017/2/1,9502.25,9869.589844,9413.769531,9750.469727,9750.462891,46133900
2017/3/1,9751.120117,9976.610352,9562.75,9811.519531,9811.512695,51898700
2017/4/1,9856.44043,9949.480469,9622.25,9872,9871.993164,37791200
2017/5/1,9926.44043,10121.87988,9895.650391,10040.71973,10040.71289,38759000
2017/6/1,10064.44043,10545.7002,10033.25,10395.07031,10395.07031,47734200
2017/7/1,10368.99023,10537.41992,10283.9502,10427.33008,10427.33008,44433400
2017/8/1,10408.53027,10619.41992,10225.28027,10585.78027,10585.78027,58797300
2017/9/1,10576.26953,10664.17969,10257.01953,10329.94043,10329.94043,56885700
2017/10/1,10425.09961,10842.25,10414.53027,10793.79981,10793.79981,43472400
2017/11/1,10816.04004,10882.65039,10560.44043,10560.44043,10560.44043,61172500
2017/12/1,10591.62012,10665.91992,10322.75977,10642.86035,10642.86035,51153000
2018/1/1,10664.82031,11270.17969,10650.76953,11103.79004,11103.79004,64898600
2018/2/1,11139.40039,11212.09961,10189.04004,10815.46973,10815.46973,37962800
2018/3/1,10779.09961,11120.2002,10638.98047,10906.21973,10906.21973,51277200
2018/4/1,10936.25977,11016.34961,10478.98047,10657.87988,10657.87988,43407400
2018/5/1,10665.51953,11034.12012,10500.96973,10874.95996,10874.95996,55954400
2018/6/1,10882.67969,11261.67969,10633.00977,10836.91016,10836.91016,57350400
2018/7/1,10852.16992,11080.41016,10523.58008,11057.50977,11057.50977,48950700
2018/8/1,11062.36035,11186.04981,10606.25977,11063.94043,11063.94043,47682700
2018/9/1,11087.86035,11097.11035,10667.25,11006.33984,11006.33984,38888400
2018/10/1,11014.19043,11064.33984,9400.69043,9802.129883,9802.129883,46243600
2018/11/1,9812.200195,10014.41992,9616.160156,9888.030273,9888.030273,43089400
2018/12/1,9979.209961,10148.75,9473.299805,9727.410156,9727.410156,37512300
2019/1/1,9725.269531,10020.59961,9319.280273,9932.259766,9932.259766,34163500
2019/2/1,10029.83984,10416.91016,9988.830078,10389.16992,10389.16992,28844900
2019/3/1,10385.25,10667.94043,10204.20996,10641.04004,10641.04004,41822300
2019/4/1,10714.67969,11077.99023,10627.00977,10967.73047,10967.73047,46946300
2019/5/1,10992.75977,11097,10227.44043,10498.49023,10498.49023,45492300
2019/6/1,10482.4502,10840.29004,10371.08008,10730.83008,10730.83008,35248400
2019/7/1,10821.29981,10994.44043,10680.84961,10823.80957,10823.80957,49441200
2019/8/1,10773.05957,10773.25,10180.04004,10618.04981,10618.04981,50197600
2019/9/1,10613.19043,10971.54004,10557.03027,10829.67969,10829.67969,43181700
2019/10/1,10855.59961,11428.41992,10809.28027,11358.70996,11358.70996,42804700
2019/11/1,11373.7002,11668.2002,11335.50977,11489.57031,11489.57031,46169300
2019/12/1,11509.94043,12125.90039,11454.37988,11997.13965,11997.13965,36000900
2020/1/1,12026.5,12197.63965,11418.21973,11495.09961,11495.09961,36308200
2020/2/1,11365.90039,11854.98047,11138.03027,11292.16992,11292.16992,43822500
2020/3/1,11184.66016,11525.32031,8523.629883,9708.05957,9708.05957,74416100
2020/4/1,9726.200195,11012.78027,9651.519531,10992.13965,10992.13965,59536000
2020/5/1,10781.50977,11087.53027,10658.5,10942.16016,10942.16016,58808900
2020/6/1,10971.40039,11771.12012,10971.40039,11621.24023,11621.24023,66076600
2020/7/1,11622.63965,13031.7002,11622.63965,12664.79981,12664.79981,82040900
2020/8/1,12642.73047,12981.58008,12144.75977,12591.4502,12591.4502,84127500
2020/9/1,12617.38965,13021.67969,12149.80957,12515.61035,12515.61035,87770000
2020/10/1,12567.87988,12997.79004,12519.12012,12546.33984,12546.33984,65701900
2020/11/1,12565.32031,13969.38965,12480.66016,13722.88965,13722.88965,88068200
2020/12/1,13810.54981,14760.05957,13749.70996,14732.53027,14732.53027,142922300
2021/1/1,14720.25,16238.45996,14720.25,15138.30957,15138.30957,114976500
2021/2/1,15176.55957,16579.16992,15089.95996,15953.79981,15953.79981,74119100
2021/3/1,16127.87012,16556.18945,15636.42969,16431.13086,16431.13086,123857000
2021/4/1,16538.2793,17709.23047,16496.16016,17566.66016,17566.66016,172343600
2021/5/1,17505.51953,17546.93945,15159.86035,17068.42969,17068.42969,196897200
2021/6/1,17098.49023,17797.26953,16775.84961,17755.46094,17755.46094,157418600
2021/7/1,17801.18945,18034.18945,16893.69922,17247.41016,17247.41016,154291700
2021/8/1,17256.60938,17643.9707,16248.08008,17490.28906,17490.28906,108915900
2021/9/1,17463.80078,17633.66992,16767.19922,16934.76953,16934.76953,82376200
2021/10/1,16883,17104.85938,16162.16992,16987.41016,16987.41016,80138200
2021/11/1,17021.76953,17986.17969,17021.76953,17427.75977,17427.75977,119613400
2021/12/1,17428.60938,18291.25,17374.58984,18218.83984,18218.83984,95211200
2022/1/1,18260.23047,18619.60938,17633.0293,17674.40039,17674.40039,69549800
2022/2/1,17750.69922,18338.05078,17554.9707,17652.17969,17652.17969,60402800
2022/3/1,17657.5,18026.0293,16764.7793,17693.4707,17693.4707,95383400
2022/4/1,17657.75977,17657.75977,16219.41016,16592.17969,16592.17969,77687200
2022/5/1,16593.21094,16807.76953,15616.67969,16807.76953,16807.76953,68922900
2022/6/1,16718.91016,16811.03906,14825.73047,14825.73047,14825.73047,66995800
2022/7/1,14812.12988,15035.26953,13928.66016,15000.07031,15000.07031,67275700
2022/8/1,14982.26953,15475.88965,14545.69043,15095.44043,15095.44043,66035700
2022/9/1,14981,14981,13274.71973,13424.58008,13424.58008,58425900
2022/10/1,13359.25977,13902.01953,12629.48047,12949.75,12949.75,50229600
2022/11/1,12933.12012,14879.54981,12868.25,14879.54981,14879.54981,61588000
2022/12/1,15059.91992,15152.37988,13981.62988,14137.69043,14137.69043,60360600
2023/1/1,14108.16016,15493.82031,14001.96973,15265.2002,15265.2002,28393900
2023/2/1,15346.34961,15717.95996,15291.67969,15503.79004,15503.79004,47426400
2023/3/1,15435.37988,15951.79981,15186.74023,15868.05957,15868.05957,67371300
2023/4/1,15838.07031,15973.82031,15284.45996,15579.17969,15579.17969,51398900
2023/5/1,15588.67969,16537.78906,15424.41992,16505.05078,16505.05078,56047100
2023/5/26,16509.14063,16537.78906,16457.74023,16505.05078,16505.05078,0
